ObjectId,AdmUnitId,BundeslandId,AnzFall,AnzTodesfall,AnzFallNeu,AnzTodesfallNeu,AnzFall7T,AnzGenesen,AnzGenesenNeu,AnzAktiv,AnzAktivNeu,Inz7T
218,9764,9,1973,24,0,0,92,1800,0,100,0,208.6
219,9771,9,4985,92,19,0,138,4600,0,300,0,102.5
220,9772,9,10834,209,45,0,326,9000,0,1600,0,128.6
221,9773,9,3426,108,26,0,104,3100,0,200,0,107.7
222,9774,9,6232,103,30,0,257,5400,0,700,0,202.3
223,9775,9,6967,111,52,0,318,6300,0,600,0,181.5
224,9776,9,3228,62,11,0,67,2900,0,200,0,81.7
225,9777,9,6799,123,21,0,191,6300,0,400,0,135.3
226,9778,9,6583,135,52,0,331,5200,0,1200,0,227.7
227,9779,9,5600,156,18,1,145,5100,0,300,0,108.4
228,9780,9,5763,78,38,1,206,5200,0,500,0,132
229,10041,10,14772,448,70,0,408,13400,0,900,0,124.1
230,10042,10,3301,55,16,0,81,3000,0,200,0,78.5
231,10043,10,5178,108,23,0,125,4800,0,300,0,95.1
232,10044,10,7966,144,44,0,237,7300,0,500,0,122
233,10045,10,4455,104,21,0,170,4000,0,300,0,119.6
234,10046,10,3072,108,8,0,57,2800,0,100,0,65.5
235,11001,11,21662,287,24,0,503,20400,0,900,0,134
236,11002,11,14039,151,51,0,236,13200,0,700,0,83.7
237,11003,11,14645,209,1,0,258,13700,0,700,0,64.8
238,11004,11,14669,275,13,0,327,13600,0,800,0,97.8
239,11005,11,13162,252,79,1,297,12300,0,600,0,124.3
240,11006,11,12337,278,15,32,186,11600,0,500,0,61.6
241,11007,11,17039,462,26,2,312,15900,0,700,0,91.3
242,11008,11,20288,409,1,0,436,18800,0,1100,0,135.8
243,11009,11,9491,209,7,0,199,8700,0,600,0,74.7
244,6534,6,10303,268,60,0,253,9500,0,600,0,102.4
245,3404,3,7142,94,26,0,183,6700,0,300,0,110.7
246,3405,3,1843,48,10,0,28,1700,0,100,0,36.8
247,3451,3,3003,61,14,0,81,2800,0,200,0,64.9
248,3452,3,3335,50,24,0,135,3100,0,200,0,71.2
249,3453,3,10458,153,39,0,203,9900,0,400,0,118.9
250,3454,3,12175,179,49,0,223,11500,0,500,0,68.2
251,3455,3,1573,40,1,0,36,1500,0,100,0,36.5
252,3456,3,5117,115,9,0,167,4700,0,300,0,121.8
253,3457,3,4225,58,11,0,91,4000,0,200,0,53.3
254,3458,3,4788,108,6,0,90,4500,0,200,0,68.8
255,3459,3,14937,294,40,0,257,14100,0,600,0,71.8
256,3460,3,8473,86,24,1,210,7800,0,500,0,147
257,3461,3,3138,107,18,0,59,2900,0,100,0,66.6
258,3462,3,1168,33,1,0,16,1100,0,0,0,28.1
259,4011,4,21820,363,75,0,539,18800,100,2700,0,95
260,4012,4,4286,98,14,0,137,3900,0,200,0,120.6
261,5111,5,23662,391,77,1,669,21900,100,1400,-100,107.6
262,15,15,94285,3164,310,1,2679,82400,400,8700,-100,122.1
263,5112,5,27352,624,113,1,644,25400,100,1400,0,129.1
264,9263,9,2255,82,15,1,79,2000,0,200,0,165.3
265,16,16,121395,3956,458,18,3841,108700,400,8700,0,180
266,5113,5,24772,555,108,1,686,22200,100,2100,0,117.7
267,9271,9,6596,147,35,0,185,6000,0,400,0,154.8
268,1001,1,2235,39,0,0,28,2100,0,100,0,31.1
269,5114,5,10872,163,37,2,398,8800,0,1900,0,175
270,9272,9,4722,119,10,0,97,4400,0,200,0,123.8
271,1002,1,5036,99,31,0,209,4600,0,400,0,84.7
272,5116,5,10318,226,59,0,294,8600,0,1500,100,112.6
273,9273,9,5600,105,21,0,243,5100,0,400,0,197.5
274,1003,1,5445,95,11,0,130,5200,0,200,0,60
275,5117,5,8024,216,21,0,152,7500,0,400,0,89.1
276,9274,9,7652,166,41,0,290,7000,0,500,0,181.4
277,1004,1,1751,23,4,0,90,1600,0,100,0,112.2
278,5119,5,10573,335,38,1,247,9700,0,600,0,117.2
279,9275,9,12635,356,31,0,212,11900,0,400,0,110
280,1051,1,1903,44,8,0,57,1800,0,100,0,42.8
281,5120,5,5895,157,18,0,170,4700,0,1000,0,152.7
282,9276,9,5381,160,10,0,83,5000,0,300,0,107.2
283,1053,1,4852,107,0,0,97,4400,0,300,0,49
284,5122,5,8800,180,37,0,253,8200,0,400,0,158.9
285,9277,9,7140,166,27,0,232,6400,0,500,0,190.9
286,1054,1,2597,79,10,0,54,2400,0,100,0,32.5
287,5124,5,18984,448,101,0,616,17200,100,1300,0,173.5
288,9278,9,5129,136,23,0,139,4700,0,300,0,137.5
289,1055,1,3209,83,18,1,97,2900,0,200,0,48.4
290,5154,5,10563,175,34,0,251,8700,100,1700,0,80.3
291,9279,9,5398,87,0,0,168,5000,0,300,0,173.8
292,1056,1,10053,337,28,0,176,9300,0,400,0,55.7
293,5158,5,22670,712,127,1,1035,20000,100,2000,0,213.2
294,9361,9,1692,22,2,0,34,1600,0,100,0,80.6
295,1057,1,1276,30,3,1,42,1200,0,100,0,32.6
296,5162,5,16842,323,75,0,527,15500,100,1100,0,116.7
297,9362,9,6634,74,48,0,174,6200,0,400,0,113.7
298,1058,1,3837,51,5,0,69,3600,0,200,0,25.2
299,5166,5,11011,297,26,0,258,9400,0,1300,0,86.3
300,9363,9,2667,73,4,0,37,2500,0,100,0,86.6
301,1059,1,2800,58,6,1,40,2700,0,100,0,19.9
302,5170,5,16784,277,83,0,427,15500,0,1000,100,92.8
303,9371,9,4676,154,14,0,77,4400,0,200,0,74.7
304,1060,1,6570,154,21,0,118,5800,0,700,0,42.6
